id,email,domain,from_name,old_signature,persona
17825851,janesmithsonss@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825820,janesmithson.js@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825787,jane_js@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825727,jane_ss@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825664,janess@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825595,janessmithson@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825593,janej-smithson@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825501,janesmithson-j@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825448,janesmithson_s@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825323,jane_j@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825321,janej@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825116,j_smithson@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825087,janesmithson.ss@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17825057,smithson@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825056,smithson.j@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17825023,janesmithson_js@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17825022,janesmithsonss@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17825021,janesmithson-js@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824985,jane.s@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17824984,jsmithson@launchwithnavreo.digital,launchwithnavreo.digital,Jane Smithson,,JANE
17824954,janesmithsonjs@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824951,jane-js@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824895,jane_js@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824875,jane.js@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824874,janejs@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824819,jane_ss@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824817,jane.ss@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824816,jane-ss@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824759,janes_smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824756,janes-smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824755,janess@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824674,janes.smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824673,janej-smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824672,janessmithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824581,janej_smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824579,janej.smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824578,janejsmithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824481,janesmithson_j@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824480,janesmithson.j@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824478,janesmithson-j@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824392,janesmithson_s@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824391,janesmithson-s@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824389,janesmithsonj@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824293,jane-j@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824292,janesmithson.s@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824287,janesmithsons@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824188,jane_j@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824187,janej@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824186,jane.j@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824089,jane-s@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824070,janes@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17824068,smithson-j@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823976,j-smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823975,smithson_j@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823974,jane-smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823907,jane_smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823906,jane_s@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823905,j_smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823842,smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823841,smithson.j@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823839,smithsonj@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823793,jsmithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823792,jane.s@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823791,janesmithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823735,j.smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823732,jane.smithson@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
17823731,jane@launchwithnavreo.info,launchwithnavreo.info,Jane Smithson,,JANE
19953848,bh_henryh@navreodemand.digital,navreodemand.digital,Bjion Henry,,BJION
